2025-03-17 23:06:22,440 INFO    MainThread:1690693 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-17 23:06:22,441 INFO    MainThread:1690693 [wandb_setup.py:_flush():67] Configure stats pid to 1690693
2025-03-17 23:06:22,441 INFO    MainThread:1690693 [wandb_setup.py:_flush():67] Loading settings from /mnt/c_disk/navaneeth/.config/wandb/settings
2025-03-17 23:06:22,441 INFO    MainThread:1690693 [wandb_setup.py:_flush():67] Loading settings from /mnt/e_disk/DA6401-Assignment-1-DA24S008/wandb/settings
2025-03-17 23:06:22,441 INFO    MainThread:1690693 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-17 23:06:22,441 INFO    MainThread:1690693 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /mnt/e_disk/DA6401-Assignment-1-DA24S008/wandb/run-20250317_230622-8ncbvwlw/logs/debug.log
2025-03-17 23:06:22,441 INFO    MainThread:1690693 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /mnt/e_disk/DA6401-Assignment-1-DA24S008/wandb/run-20250317_230622-8ncbvwlw/logs/debug-internal.log
2025-03-17 23:06:22,441 INFO    MainThread:1690693 [wandb_init.py:init():761] calling init triggers
2025-03-17 23:06:22,441 INFO    MainThread:1690693 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'wandb_project': 'DA24S008_Assignment_1', 'wandb_entity': 'da24s008-indian-institute-of-technology-madras', 'dataset': 'fashion_mnist', 'epochs': 10, 'batch_size': 32, 'loss': 'mse', 'optimizer': 'nadam', 'learning_rate': 0.001, 'momentum': 0.9, 'beta': 0.999, 'beta1': 0.9, 'beta2': 0.999, 'epsilon': 1e-08, 'weight_decay': 0.0, 'weight_init': 'xavier_normal', 'num_layers': 5, 'hidden_size': 128, 'activation': 'sigmoid', '_wandb': {}}
2025-03-17 23:06:22,441 INFO    MainThread:1690693 [wandb_init.py:init():784] starting backend
2025-03-17 23:06:22,441 INFO    MainThread:1690693 [wandb_init.py:init():788] sending inform_init request
2025-03-17 23:06:22,444 INFO    MainThread:1690693 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-17 23:06:22,444 INFO    MainThread:1690693 [wandb_init.py:init():798] backend started and connected
2025-03-17 23:06:22,446 INFO    MainThread:1690693 [wandb_init.py:init():891] updated telemetry
2025-03-17 23:06:22,451 INFO    MainThread:1690693 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-17 23:06:22,909 INFO    MainThread:1690693 [wandb_init.py:init():990] starting run threads in backend
2025-03-17 23:06:22,980 INFO    MainThread:1690693 [wandb_run.py:_console_start():2375] atexit reg
2025-03-17 23:06:22,980 INFO    MainThread:1690693 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-17 23:06:22,981 INFO    MainThread:1690693 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-17 23:06:22,981 INFO    MainThread:1690693 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-17 23:06:22,982 INFO    MainThread:1690693 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-17 23:06:23,835 ERROR   MainThread:1690693 [internal_api.py:execute():402] 400 response executing GraphQL.
2025-03-17 23:06:23,835 ERROR   MainThread:1690693 [internal_api.py:execute():403] {"errors":[{"message":"Invalid sweep config: Sweep config must contain method section","path":["upsertSweep"]}],"data":{"upsertSweep":null}}
2025-03-17 23:06:24,358 INFO    MsgRouterThr:1690693 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
